Country,Clicks,Impressions,CTR,Position
Malaysia,10966,49721,22.06%,4.92
Singapore,28,453,6.18%,8.02
Thailand,19,67,28.36%,4.46
Brunei,12,195,6.15%,13.55
Egypt,7,27,25.93%,3.89
Japan,6,20,30%,7.6
Saudi Arabia,4,16,25%,7.31
United Kingdom,3,28,10.71%,11.79
Australia,3,21,14.29%,5.81
Indonesia,2,20,10%,6.65
Qatar,2,14,14.29%,10.29
United Arab Emirates,2,8,25%,5.12
United States,1,226,0.44%,10.44
China,1,16,6.25%,7.75
Jordan,1,14,7.14%,4.57
Vietnam,1,11,9.09%,7.18
Hong Kong,1,6,16.67%,5.67
Turkey,1,3,33.33%,11
Finland,1,2,50%,1.5
Yemen,1,2,50%,4.5
Oman,1,1,100%,2
South Africa,1,1,100%,6
Canada,0,16,0%,6.81
Brazil,0,13,0%,6.54
India,0,12,0%,10.25
Germany,0,11,0%,6.55
Philippines,0,7,0%,15.29
Pakistan,0,6,0%,5.33
Netherlands,0,5,0%,7.2
Algeria,0,4,0%,6.5
Mexico,0,4,0%,7.75
South Korea,0,3,0%,4.67
Sweden,0,3,0%,7
New Zealand,0,2,0%,2.5
Spain,0,2,0%,3
France,0,2,0%,5.5
Colombia,0,2,0%,6.5
Argentina,0,2,0%,7
Bulgaria,0,2,0%,8
Bangladesh,0,2,0%,8.5
Nepal,0,2,0%,20
Uzbekistan,0,1,0%,1
Nigeria,0,1,0%,2
Lebanon,0,1,0%,3
Albania,0,1,0%,4
Azerbaijan,0,1,0%,4
Guatemala,0,1,0%,4
Chile,0,1,0%,5
Iran,0,1,0%,5
Moldova,0,1,0%,5
Cambodia,0,1,0%,6
Ethiopia,0,1,0%,7
Italy,0,1,0%,7
Panama,0,1,0%,8
Venezuela,0,1,0%,8
Myanmar (Burma),0,1,0%,9
Belarus,0,1,0%,10
Ireland,0,1,0%,10
Morocco,0,1,0%,10
Ukraine,0,1,0%,11
Peru,0,1,0%,12
Switzerland,0,1,0%,13
Poland,0,1,0%,16